accession	length	begin	end	type	collection_date	country	host	mol_type	strain	pubmed	organism	location_details	host_details	country_code	continent	sub-region	region	int-region	location	host_type
LC369584	10272	0	10272	Asian	2017	Japan	Homo sapiens	genomic RNA	ZIKV/Hu/Thai/KngSG/17-D501		Zika virus	kanagawa, Sagamihara		JPN	Asia	Eastern Asia	Asia	Eastern Asia	Eastern Asia	human
MG827392	10272	0	10272	Asian	25-Oct-2013	French Polynesia	Homo sapiens	genomic RNA	PF13/251013-18		Zika virus			PYF	Oceania	Polynesia	Oceania	Polynesia	Oceania	human
KY441403	10272	0	10272	Asian	11-Jan-2016	Brazil	Homo sapiens	genomic RNA			Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
KY441402	10272	0	10272	Asian	05-Apr-2016	Brazil	Homo sapiens	genomic RNA			Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
KY441401	10272	0	10272	Asian	29-Feb-2016	Brazil	Homo sapiens	genomic RNA			Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF988734	10272	0	10272	Asian	Aug-2017	Singapore	Homo sapiens	genomic RNA		29346272	Zika virus			SGP	Asia	South-eastern Asia	Asia	South-eastern Asia	South-eastern Asia	human
MG674719	10251	0	10272	Asian	16-Apr-2016	China	Homo sapiens	genomic RNA			Zika virus			CHN	Asia	Eastern Asia	Asia	Eastern Asia	Eastern Asia	human
MG674718	10272	0	10272	Asian	16-Apr-2016	China	Homo sapiens	genomic RNA			Zika virus			CHN	Asia	Eastern Asia	Asia	Eastern Asia	Eastern Asia	human
MG645981	10272	0	10272	Asian	28-Oct-2006	Thailand	Homo sapiens	genomic RNA			Zika virus			THA	Asia	South-eastern Asia	Asia	South-eastern Asia	South-eastern Asia	human
MG595216	10272	0	10272	Asian	23-Jun-2016	Mexico	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/MEX/R116265/2016		Zika virus			MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
KY120353	10272	0	10272	Asian	28-Apr-2016	South Korea	Homo sapiens	genomic RNA	Zika/Boracay/16423		Zika virus			KOR	Asia	Eastern Asia	Asia	Eastern Asia	Eastern Asia	human
KY120352	10272	0	10272	Asian	22-Mar-2016	South Korea	Homo sapiens	genomic RNA	Zika/Brazil/16321		Zika virus			KOR	Asia	Eastern Asia	Asia	Eastern Asia	Eastern Asia	human
MG494697	10272	0	10272	Asian	24-Nov-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Veracruz	female newborn	MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
KY766069	10272	0	10272	Asian	25-Oct-2013	French Polynesia	Homo sapiens	genomic RNA			Zika virus			PYF	Oceania	Polynesia	Oceania	Polynesia	Oceania	human
KU729218	10272	0	10272	Asian	2015	Brazil	Homo sapiens	genomic RNA			Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
LC219720	10272	0	10272	Asian	2016-11-22	Japan	Homo sapiens	genomic RNA	ZIKV/Hu/NIID123/2016	28445122	Zika virus			JPN	Asia	Eastern Asia	Asia	Eastern Asia	Eastern Asia	human
KX447521	9274	0	9274	Asian	Feb-2014	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus			PYF	Oceania	Polynesia	Oceania	Polynesia	Oceania	human
KX447520	9641	0	9641	Asian	Jan-2014	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus			PYF	Oceania	Polynesia	Oceania	Polynesia	Oceania	human
KX447519	9058	0	9058	Asian	Nov-2013	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus			PYF	Oceania	Polynesia	Oceania	Polynesia	Oceania	human
KX447518	9062	0	9062	Asian	Dec-2013	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus			PYF	Oceania	Polynesia	Oceania	Polynesia	Oceania	human
KX447517	10272	0	10272	Asian	Jan-2014	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus			PYF	Oceania	Polynesia	Oceania	Polynesia	Oceania	human
KX447516	10272	0	10272	Asian	Jan-2014	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus			PYF	Oceania	Polynesia	Oceania	Polynesia	Oceania	human
KX447515	10272	0	10272	Asian	Nov-2013	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus			PYF	Oceania	Polynesia	Oceania	Polynesia	Oceania	human
KX447514	10272	0	10272	Asian	Jan-2014	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus			PYF	Oceania	Polynesia	Oceania	Polynesia	Oceania	human
KX447513	10272	0	10272	Asian	Dec-2013	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus			PYF	Oceania	Polynesia	Oceania	Polynesia	Oceania	human
KX447512	10272	0	10272	Asian	Dec-2013	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus			PYF	Oceania	Polynesia	Oceania	Polynesia	Oceania	human
KX447511	10272	0	10272	Asian	Jan-2014	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus			PYF	Oceania	Polynesia	Oceania	Polynesia	Oceania	human
KX447510	10272	0	10272	Asian	Dec-2013	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus			PYF	Oceania	Polynesia	Oceania	Polynesia	Oceania	human
KX447509	10272	0	10272	Asian	Dec-2013	French Polynesia	Homo sapiens	genomic RNA		27729507	Zika virus			PYF	Oceania	Polynesia	Oceania	Polynesia	Oceania	human
LC331561	10272	0	10272	Asian	2016	Japan	Homo sapiens	genomic RNA	3216DP137		Zika virus	Tokyo		JPN	Asia	Eastern Asia	Asia	Eastern Asia	Eastern Asia	human
KX280026	10272	0	10272	Asian	2015	Brazil	Homo sapiens	genomic RNA		27555311	Zika virus			BRA	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF099651	10260	0	10260	Asian	2016-08	China	Culex pipiens quinquefasciatus	genomic RNA		29089591	Zika virus	Guizhou		CHN	Asia	Eastern Asia	Asia	Eastern Asia	Eastern Asia	monkey
MF801426	10272	0	10272	Asian	25-Jul-2016	Nicaragua	Homo sapiens	genomic RNA			Zika virus			NIC	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801425	10048	126	10174	Asian	24-Jun-2016	Nicaragua	Homo sapiens	genomic RNA			Zika virus			NIC	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801424	9592	483	10075	Asian	01-Jul-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Yucatan		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801423	10272	0	10272	Asian	30-Jun-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Guerrero		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801422	9898	366	10264	Asian	01-Jul-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Guerrero		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801421	9751	384	10135	Asian	01-Jul-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Chiapas		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801420	10272	0	10272	Asian	04-Jul-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Chiapas		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801419	10020	240	10260	Asian	01-Jul-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Chiapas		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801418	10272	0	10272	Asian	30-Jun-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Chiapas		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801417	10272	0	10272	Asian	01-Jul-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Chiapas		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801416	9837	435	10272	Asian	Jul-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Guerrero		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801415	10215	57	10272	Asian	05-Jul-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Guerrero		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801414	10272	0	10272	Asian	05-Jul-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Guerrero		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801413	10272	0	10272	Asian	07-Jul-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Guerrero		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801412	10272	0	10272	Asian	07-Jul-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Guerrero		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801411	9945	327	10272	Asian	05-Jul-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Guerrero		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801410	10272	0	10272	Asian	05-Jul-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Guerrero		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801409	10272	0	10272	Asian	Jul-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Chiapas		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801408	10272	0	10272	Asian	05-Jul-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Chiapas		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801407	10272	0	10272	Asian	05-Jul-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Oaxaca		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801406	10272	0	10272	Asian	07-Jul-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Oaxaca		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801405	9755	513	10268	Asian	09-Jul-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Guerrero		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801404	10272	0	10272	Asian	08-Jul-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Guerrero		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801403	10272	0	10272	Asian	25-May-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Chiapas		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801402	10272	0	10272	Asian	26-May-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Chiapas		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801401	10212	60	10272	Asian	23-May-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Chiapas		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801400	10026	246	10272	Asian	20-May-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Chiapas		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801399	10011	261	10272	Asian	20-May-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Chiapas		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801398	10272	0	10272	Asian	20-May-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Chiapas		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801397	10188	84	10272	Asian	20-May-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Campeche		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801396	10272	0	10272	Asian	17-May-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Chiapas		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801395	10272	0	10272	Asian	09-May-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Chiapas		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801394	9882	390	10272	Asian	03-May-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Chiapas		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801393	10044	228	10272	Asian	22-Apr-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Chiapas		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801392	9444	828	10272	Asian	13-Aug-2016	Mexico	Homo sapiens	genomic RNA			Zika virus			MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801391	10272	0	10272	Asian	06-Jul-2016	Mexico	Homo sapiens	genomic RNA			Zika virus	Oaxaca		MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801390	10045	78	10123	Asian	2016	Mexico	Homo sapiens	genomic RNA			Zika virus			MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801389	10272	0	10272	Asian	10-May-2016	Honduras	Homo sapiens	genomic RNA			Zika virus	Roatan		HND	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801388	9852	393	10245	Asian	25-Apr-2016	Honduras	Homo sapiens	genomic RNA			Zika virus	Roatan		HND	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801387	10272	0	10272	Asian	29-Mar-2016	Honduras	Homo sapiens	genomic RNA			Zika virus	Roatan		HND	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801386	10170	102	10272	Asian	24-Feb-2016	Honduras	Homo sapiens	genomic RNA			Zika virus	Roatan		HND	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801385	10098	174	10272	Asian	12-Feb-2016	Honduras	Homo sapiens	genomic RNA			Zika virus	Roatan		HND	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801384	10272	0	10272	Asian	03-Feb-2016	Honduras	Homo sapiens	genomic RNA			Zika virus	Roatan		HND	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801383	10242	30	10272	Asian	03-Jun-2016	Honduras	Homo sapiens	genomic RNA			Zika virus			HND	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801382	9978	294	10272	Asian	2016	Honduras	Homo sapiens	genomic RNA			Zika virus			HND	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801381	10272	0	10272	Asian	2016	Honduras	Homo sapiens	genomic RNA			Zika virus			HND	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801380	10218	54	10272	Asian	11-Apr-2016	Guatemala	Homo sapiens	genomic RNA			Zika virus			GTM	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801379	9725	381	10106	Asian	18-Jun-2016	Guatemala	Homo sapiens	genomic RNA			Zika virus			GTM	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801378	10272	0	10272	Asian	21-Jul-2016	Guatemala	Homo sapiens	genomic RNA			Zika virus			GTM	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF801377	10086	186	10272	Asian	22-Feb-2016	El Salvador	Homo sapiens	genomic RNA			Zika virus			SLV	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF988743	10272	0	10272	Asian	01-Sep-2016	USA	Aedes aegypti	genomic RNA			Zika virus	Miami Beach, FL	female	USA	Americas	Northern America	Americas	Northern America	Northern America	mosquito
KX906952	10272	0	10272	Asian	16-Apr-2016	Honduras	Homo sapiens	genomic RNA			Zika virus			HND	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
LC191864	10272	0	10272	Asian	2016-04-21	Japan	Homo sapiens	genomic RNA	ZIKV/Hu/Chiba/S36/2016	28367888	Zika virus	Chiba		JPN	Asia	Eastern Asia	Asia	Eastern Asia	Eastern Asia	human
MF794971	10272	0	10272	Asian	01-May-2016	Ecuador	Homo sapiens	genomic RNA	ZIKV/EC/Esmeraldas/121/2016		Zika virus			ECU	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF692778	10272	0	10272	Asian	Oct-2016	Taiwan	Homo sapiens	genomic RNA			Zika virus			TWN	Asia	Eastern Asia	Asia	Eastern Asia	Eastern Asia	human
MF664436	10272	0	10272	Asian	25-Aug-2016	Russia	Homo sapiens	genomic RNA			Zika virus	Moscow	female	RUS	Europe	Eastern Europe	Europe	Eastern Europe	Europe	human
KX879604	10272	0	10272	Asian	Apr-2016	Ecuador	Homo sapiens	genomic RNA	ZIKV/EC/Esmeraldas/089/2016	28232448	Zika virus	Esmeraldas		ECU	Americas	Latin America and the Caribbean	Americas	South America	South America	human
KX879603	10272	0	10272	Asian	Apr-2016	Ecuador	Homo sapiens	genomic RNA	ZIKV/EC/Esmeraldas/062/2016	28232448	Zika virus	Esmeraldas		ECU	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF593625	10272	0	10272	Asian	14-Sep-2016	China	Homo sapiens	genomic RNA			Zika virus			CHN	Asia	Eastern Asia	Asia	Eastern Asia	Eastern Asia	human
MF574588	10272	0	10272	Asian	Dec-2016	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/FLR_00035/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574587	10272	0	10272	Asian	Dec-2016	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/PAN_00030/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574586	10272	0	10272	Asian	Dec-2016	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/FLR_00038/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574585	10272	0	10272	Asian	Dec-2016	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/PAN_00029/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574584	10272	0	10272	Asian	Dec-2016	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/FLR_00040/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574583	10272	0	10272	Asian	Dec-2016	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/FLR_00041/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574582	10272	0	10272	Asian	Dec-2016	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/FLR_00036/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574581	10272	0	10272	Asian	Dec-2016	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/FLR_00034/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574580	10272	0	10272	Asian	Dec-2016	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/FLR_00042/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574579	10272	0	10272	Asian	Dec-2016	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/PRV_00027/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574578	10272	0	10272	Asian	Dec-2016	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/PRV_00028/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574577	10272	0	10272	Asian	Dec-2015	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/FLR_00020/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574576	10272	0	10272	Asian	Dec-2015	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/FLR_00014/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574575	10272	0	10272	Asian	Dec-2015	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/FLR_00016/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574574	10272	0	10272	Asian	Dec-2015	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/FLR_00019/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574573	10272	0	10272	Asian	Dec-2015	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/FLR_00018/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574572	10272	0	10272	Asian	Dec-2015	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/FLR_00009/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574571	10272	0	10272	Asian	Dec-2015	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/FLR_00005/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574570	10272	0	10272	Asian	Dec-2015	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/FLR_00010/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574569	10272	0	10272	Asian	Dec-2015	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/FLR_00024/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574568	10272	0	10272	Asian	Dec-2015	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/FLR_00012/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574567	10272	0	10272	Asian	Dec-2015	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/FLR_00015/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574566	10272	0	10272	Asian	Dec-2015	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/FLR_00023/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574565	10272	0	10272	Asian	Dec-2015	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/FLR_00011/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574564	10272	0	10272	Asian	Dec-2015	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/FLR_00026/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574563	10272	0	10272	Asian	Dec-2015	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/FLR_00025/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574562	10272	0	10272	Asian	Dec-2015	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/FLR_00008/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574561	10272	0	10272	Asian	Dec-2015	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/FLR_00004/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574560	10272	0	10272	Asian	Dec-2015	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/FLR_00003/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574559	10272	0	10272	Asian	Dec-2015	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/FLR_00002/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574558	10272	0	10272	Asian	Dec-2015	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/FLR_00013/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574557	10272	0	10272	Asian	Dec-2015	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/FLR_00007/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574556	10272	0	10272	Asian	Dec-2015	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/FLR_00021/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574555	10272	0	10272	Asian	Dec-2015	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/FLR_00006/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574554	10272	0	10272	Asian	Dec-2015	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/FLR_00022/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574553	10272	0	10272	Asian	Dec-2015	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/FLR_00017/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
MF574552	10272	0	10272	Asian	Dec-2015	Colombia	Homo sapiens	genomic RNA	ZIKV/Homo sapiens/COL/FLR_00001/2015		Zika virus	Barranquilla		COL	Americas	Latin America and the Caribbean	Americas	South America	South America	human
KU179098	10272	0	10272	Asian	30-Dec-2014	Indonesia	Homo sapiens	genomic RNA		27088970,28755588	Zika virus	Jambi		IDN	Asia	South-eastern Asia	Asia	South-eastern Asia	South-eastern Asia	human
KY962729	9063	1194	10269	Asian	Apr-2016	South Korea	Homo sapiens	genomic RNA		28795266	Zika virus			KOR	Asia	Eastern Asia	Asia	Eastern Asia	Eastern Asia	human
KY553111	10260	1	10272	Asian	Apr-2016	South Korea	Homo sapiens	genomic RNA		28795266	Zika virus			KOR	Asia	Eastern Asia	Asia	Eastern Asia	Eastern Asia	human
KX247632	10272	0	10272	Asian	Nov-2015	Mexico	Aedes aegypti	genomic RNA			Zika virus			MEX	Americas	Latin America and the Caribbean	Americas	Central America	Central America	mosquito
MF434522	10272	0	10272	Asian	29-Aug-2016	Nicaragua	Homo sapiens	genomic RNA			Zika virus	Managua		NIC	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF434521	10272	0	10272	Asian	19-Jul-2016	Nicaragua	Homo sapiens	genomic RNA			Zika virus	Managua		NIC	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF434520	10272	0	10272	Asian	07-Feb-2016	Nicaragua	Homo sapiens	genomic RNA			Zika virus	Managua		NIC	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF434519	10047	0	10047	Asian	22-Jul-2016	Nicaragua	Homo sapiens	genomic RNA			Zika virus	Managua		NIC	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF434518	10272	0	10272	Asian	26-Aug-2016	Nicaragua	Homo sapiens	genomic RNA			Zika virus	Managua		NIC	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF434517	10272	0	10272	Asian	19-Aug-2016	Nicaragua	Homo sapiens	genomic RNA			Zika virus	Managua		NIC	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF434516	10272	0	10272	Asian	05-Aug-2016	Nicaragua	Homo sapiens	genomic RNA			Zika virus	Managua		NIC	Americas	Latin America and the Caribbean	Americas	Central America	Central America	human
MF438286	10272	0	10272	Asian	12-Feb-2017	Cuba	Homo sapiens	genomic RNA	Zika virus/Homo sapiens/Cuba 2017		Zika virus		microcephaly fetus	CUB	Americas	Latin America and the Caribbean	Americas	Caribbean	Caribbean	human
MF384325	10272	0	10272	Asian	17-May-2016	Haiti	Aedes aegypti	genomic RNA			Zika virus		male	HTI	Americas	Latin America and the Caribbean	Americas	Caribbean	Caribbean	mosquito
KY126351	10272	0	10272	Asian	May-2016	Taiwan	Homo sapiens	genomic RNA			Zika virus			TWN	Asia	Eastern Asia	Asia	Eastern Asia	Eastern Asia	human
